order,year,title,co-author,publication,description,file,bib
1,2022,Build a Strategy that Addresses Your Gnarliest Challenges,,Harvard Business Review,"Explains the concept of the ""crux"" in strategy - identifying the central challenge that must be overcome for progress to occur - and discusses how organizations can focus their efforts on resolving such constraints.",articles/HBR Gnarliest Challenges.pdf,
2,2022,Strategic Coherence for Tumultuous Times,,PwC Global,"Examines how organizations can maintain strategic coherence in periods of economic and technological disruption by aligning policies, actions, and resources around a clear diagnosis of the situation.",articles/Strategic challenges & coherence for tumultuous times.pdf,
3,2022,Getting Strategy Wrong,,McKinsey Quarterly,"Discusses common errors in strategy formulation, particularly the tendency to confuse goals, financial targets, and aspirations with strategy. The article emphasizes the role of diagnosis and focused action in addressing difficult challenges.",articles/getting-strategy-wrong-and-how-to-do-it-right-instead.pdf,
4,2022,Why Bad Strategy Is a Social Contagion,,McKinsey & Co.,"Examines how ineffective strategic thinking spreads through organizations and industries, and what leaders can do to resist its influence.",articles/why-bad-strategy-is-a-social-contagion_final.pdf,
5,2011,The Perils of Bad Strategy,,McKinsey Quarterly,"Describes common patterns in ineffective strategy, including the substitution of slogans or ambitions for analysis and the avoidance of difficult choices about priorities and trade-offs.",articles/the perils of bad strategy.pdf,
6,2011,The U.S. Economy Needs to Break Its Stimulus Habit,,Fortune,Opinion essay discussing macroeconomic policy and the long-term effects of repeated fiscal stimulus on economic growth and structural adjustment.,articles/Break the stimulus habit.pdf,
7,2009,Setting Strategy in the New Era,,McKinsey Quarterly,"Discussion of strategic decision-making following the financial crisis, focusing on uncertainty, capital allocation, and changing competitive conditions. Conversation with Lowell Bryan and Allen P. Webb.",articles/setting strategy in the new era a conversation with lowell bryan and richard rumelt.pdf,
8,2009,Management Lessons from the Financial Crisis,,McKinsey Quarterly,"Conversation examining management implications of the global financial crisis, including corporate governance, risk management, and the role of strategic leadership. With Lowell Bryan and Allen P. Webb.",articles/management lessons from the financial crisis a conversation with lowell bryan and richard rumelt.pdf,
9,2009,Weighing the US Government's Response to the Crisis,,McKinsey Quarterly,A dialogue examining the effectiveness and long-term implications of US government interventions during the financial crisis.,articles/weighing the us governments response to the crisis a dialogue.pdf,
10,2008,Strategy in a Structural Break,,McKinsey Quarterly,"Discusses how major shifts in economic or technological conditions (""structural breaks"") alter competitive landscapes and require organizations to reconsider existing strategies and assumptions.",articles/Strategy in a structural break.pdf,
11,2007,Strategy's Strategist: An Interview with Richard Rumelt,,McKinsey Quarterly,"An interview discussing Rumelt's views on the nature of strategy, including the importance of diagnosing the core problem and distinguishing strategy from planning or goal setting. With Dan P. Lovallo and Lenny T. Mendonca.",articles/strategys strategist an interview with richard rumelt.pdf,
12,1996,The Honda Effect Revisited,"Henry Mintzberg, Richard T. Pascale, Michael Goold",California Management Review,"Revisits the debate about Honda's entry into the U.S. motorcycle market and the broader question of deliberate versus emergent strategy. With Henry Mintzberg, Richard Pascale, and Michael Goold.",articles/Honda-Effect.pdf,
13,2024,Understanding Business Model Reinvention,,PwC Briefing Memo,Describes a means of organizing and presenting issues in business model reinvention,articles/Understanding Business Model Reinvention.pdf,
14,2024,Your Business Model Reinvention Journey: Where to Begin,,PwC Briefing Memo,Business model reinvention begins with an assessment of your current business model and those used by competitors as well as by your industry as a whole. ,articles/Your Business Model Reinvention Journey Where to Begin.pdf,
15,2024,The Reinvention Journey: Finding Opportunities in the Storm,,PwC Briefing Memo,"Today, each megatrend is both accelerating and changing in character. Together, they are colliding to create an era of turbulent change. This new era poses both great risks and significant opportunities.",articles/The Reinvention Journey-Finding Opportunity in The Storm.pdf,
16,2024,Lessons From Past Technological Disruptions,,PwC Briefing Memo,What lessons can we learn from past technological disruptions? This note examines seven technological disruptions occurring in the last thirty years. ,articles/Lessons From Past Technological Disruptions.pdf,
17,2024,Your Business Model Reinvention Journey: Dealing with Inertia,,PwC Briefing Memo,"What makes organizational change so difficult? In a word, organizations have inertia. ",articles/Your Business Model Reinvention Journey-Dealing with Inertia.pdf,
18,2024,A Bibliography on Business Model Reinvention,,PwC Briefing Memo,,articles/A Business Model Reinvention Bibliography.pdf,
19,2009,Management lessons from the financial crisis: A conversation with Lowell Bryan and Richard Rumelt,,McKinsey Quarterly,The broad managerial implications of the financial crisis,articles/management lessons from the financial crisis a conversation with lowell bryan and richard rumelt.pdf,
20,2009,Setting Strategy in the New Era a Conversation with Lowell bryan and Richard Rumelt.pdf,,McKinsey Quarterly,Strategic opportunities emerging as  value shifts within and between economic sectors.,articles/setting strategy in the new era a conversation with lowell bryan and richard rumelt.pdf,
21,2011,Verizon strike: Can both sides win?,,Fortune,"Verizon's management and the unions are responding to immediate issues and changes, but they are both acting myopically.",articles/Verizon Strike.pdf,
22,2011,WW2 Stimulus and the Postwar Boom,,Wall Street Journal,"In WW2 the government did not increase personal consumption, it enforces thrift",articles/WW2 Stimulus.pdf,
